"id","programName","programDescription","programType","targetRace","workoutDay","workoutTitle","sessionType","garminSport","exerciseName","exerciseDetails","garminExerciseCategory","garminExerciseName","weightKg","restSeconds","sets","reps","runType","runDistance","runPaceZone","runDescription","runEffortLevel","noIntervals"
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","1","Treadmill Incline Session","run","RUNNING","","","","","","","","","easy","7.5","easy","Treadmill steady incline. 45 min continuous at 5-6% gradient, easy aerobic effort. Builds the climbing-specific aerobic engine you'll need from km 8. Hold form, drive the knees.","4",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","1","Lower Body Strength","strength","STRENGTH_TRAINING","Back squat","4×4 | RPE 8 (2 in reserve)","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","1","Lower Body Strength","strength","STRENGTH_TRAINING","Romanian deadlift","3×6 | RPE 7-8","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","1","Lower Body Strength","strength","STRENGTH_TRAINING","Bulgarian split squat, 4s lower","3×6 ea | RPE 8 (DESCENT armour)","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","1","Lower Body Strength","strength","STRENGTH_TRAINING","Nordic hamstring curl","3×5 | RPE 8","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","1","Lower Body Strength","strength","STRENGTH_TRAINING","Weighted calf raise + 30s iso hold","3 sets | RPE 7","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","2","Easy Run","run","RUNNING","","","","","","","","","easy","9.2","easy","55 min easy trail run. Fully conversational. Build the aerobic base — this is the bedrock of the whole plan.","3",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","2","CrossFit Conditioning","cardio","CARDIO_TRAINING","Format","CrossFit engine builder. 4 rounds for time","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","2","CrossFit Conditioning","cardio","CARDIO_TRAINING","Work 1","500m row · 15 burpees over rower · 20 wall balls (9kg)","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","2","CrossFit Conditioning","cardio","CARDIO_TRAINING","Work 2","400m run · rest 90s between rounds","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","2","CrossFit Conditioning","cardio","CARDIO_TRAINING","Notes","Effort RPE 8. Builds the aerobic-power overlap Hyrox/ultra both need.","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","3","Threshold Run","run","RUNNING","","","","","","","","","easy","2.5","easy","15 min easy warm-up","3",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","3","Threshold Run","run","RUNNING","","","","","","","","","tempo","1.2","threshold","6 min at threshold effort","8","4"
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","3","Threshold Run","run","RUNNING","","","","","","","","","recovery","0.4","recovery","Easy jog / walk recovery between reps","3",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","3","Threshold Run","run","RUNNING","","","","","","","","","easy","1.7","easy","10 min easy cool-down","3",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","3","Upper Body Strength","strength","STRENGTH_TRAINING","Push press","4×4 | RPE 8","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","3","Upper Body Strength","strength","STRENGTH_TRAINING","Weighted pull-up","4×5 | RPE 8","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","3","Upper Body Strength","strength","STRENGTH_TRAINING","Bench or DB incline press","3×6 | RPE 7-8","","","","","","","","","","","",""
"","Ham & Lyme 50K","16-week hybrid training plan for the Ham & Lyme First 50K trail ultra (19 Sep 2026), target finish 4:20. Polarised easy running volume, threshold work, course-specific hill and treadmill-incline sessions, and progressive long runs peaking at 4h30. Two strength sessions and two CrossFit-style conditioning sessions per week, with eccentric loading for descent resilience on the 1,052m of elevation gain.","hybrid","ultra","3","Upper Body Strength","strength","STRENGTH_TRAINING","Pendlay row","3×6 | RPE 7-8","","","","","","","","","","","",""
