programName,programDescription,workoutDay,workoutTitle,exerciseName,exerciseDetails
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",1,"Full Body Strength A","Squats","4x8 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",1,"Full Body Strength A","Bench Press","4x8 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",1,"Full Body Strength A","Bent Over Rows","4x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",2,"Lactate Threshold Run","Warm-up","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",2,"Lactate Threshold Run","Intervals","5x800m at threshold pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",2,"Lactate Threshold Run","Cool-down","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",3,"Active Recovery & Mobility","Light Cycling or Rowing","20 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",3,"Active Recovery & Mobility","Full Body Stretching","15 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",4,"HYROX Skills: Sleds","Sled Push","6x25m (heavy)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",4,"HYROX Skills: Sleds","Sled Pull","6x25m (heavy)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",4,"HYROX Skills: Sleds","Core Work","3x15 leg raises"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",5,"Full Body Strength B","Deadlifts","4x6 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",5,"Full Body Strength B","Overhead Press","4x8 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",5,"Full Body Strength B","Pull-ups","4x max reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",6,"Long Endurance","Steady State Run","60 minutes at a conversational pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",7,"HYROX Skills: Carries & Lunges","Farmer's Carry","5x100m"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",7,"HYROX Skills: Carries & Lunges","Sandbag Lunges","5x50m"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",8,"Full Body Strength A","Squats","4x8 reps (increase weight)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",8,"Full Body Strength A","Bench Press","4x8 reps (increase weight)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",8,"Full Body Strength A","Bent Over Rows","4x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",9,"Lactate Threshold Run","Warm-up","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",9,"Lactate Threshold Run","Intervals","6x800m at threshold pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",9,"Lactate Threshold Run","Cool-down","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",10,"Active Recovery & Mobility","Swimming or Elliptical","25 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",10,"Active Recovery & Mobility","Foam Rolling","15 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",11,"HYROX Skills: Burpees & Wall Balls","Burpee Broad Jumps","5x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",11,"HYROX Skills: Burpees & Wall Balls","Wall Balls","5x20 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",12,"Full Body Strength B","Deadlifts","4x6 reps (increase weight)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",12,"Full Body Strength B","Overhead Press","4x8 reps (increase weight)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",12,"Full Body Strength B","Pull-ups","4x max reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",13,"Long Endurance","Steady State Run","65 minutes at a conversational pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",14,"Mini HYROX Simulation","Run","1km"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",14,"Mini HYROX Simulation","50 Wall Balls",""
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",14,"Mini HYROX Simulation","Run","1km"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",14,"Mini HYROX Simulation","50 Burpee Broad Jumps",""
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",15,"Full Body Strength A","Front Squats","4x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",15,"Full Body Strength A","Incline Bench Press","4x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",15,"Full Body Strength A","Dumbbell Rows","4x12 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",16,"Tempo Run","Warm-up","10 min jog"
